room_type,accommodates,bathrooms,bedrooms,beds,host_response_time,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,beds_per_accommodates,accommodates_per_bedroom,reviews_per_month_per_review,availability_ratio_30_365,host_listing_concentration,review_scores_mean,description_char_len,description_word_count,amenities_item_count,property_type_char_len,host_tenure_days,days_since_first_review,days_since_last_review
Entire home/apt,2,1.0,2.0,2.0,within an hour,t,1.0,1.0,48.86257,2.35686,t,10,10,10,10,172,22,5,4.76,4.7,4.96,4.69,1.66,133.0,1.0,1.0,0.0096511627906976,1.0,1.0,4.777500000000001,514,89,39,11,2823.0,2765.0,-335.0
Entire home/apt,4,1.5,2.0,2.0,within an hour,f,32.0,42.0,39.84195,3.13006,t,27,34,64,300,16,4,0,4.94,4.75,4.88,4.75,0.25,162.0,0.5,2.0,0.015625,0.09,0.7619047619047619,4.83,469,80,33,18,3759.0,1457.0,-369.0
Entire home/apt,3,1.0,1.0,3.0,within an hour,f,3.0,3.0,35.2926546,25.4332822,t,0,0,0,181,7,2,0,5.0,4.71,4.57,4.86,0.24,88.0,1.0,3.0,0.0342857142857142,0.0,1.0,4.785,0,0,42,18,3126.0,506.0,-191.0
Entire home/apt,4,1.0,2.0,2.0,within an hour,f,1.0,1.0,50.8356286,4.3296302,t,8,11,15,204,37,37,8,4.65,4.62,4.49,4.68,9.82,86.0,0.5,2.0,0.2654054054054054,0.0392156862745098,1.0,4.609999999999999,324,57,38,18,-316.0,-328.0,-435.0
Entire home/apt,4,1.0,1.0,3.0,within an hour,f,1.0,3.0,40.46687,17.26606,t,6,6,6,97,19,3,0,4.95,5.0,4.53,5.0,0.58,67.0,0.75,4.0,0.0305263157894736,0.0618556701030927,0.3333333333333333,4.87,421,66,43,12,630.0,625.0,-265.0
Entire home/apt,2,1.0,1.0,1.0,within a day,f,2.0,2.0,41.1882,16.67315,t,30,60,90,325,2,2,0,5.0,5.0,5.0,5.0,0.54,112.0,0.5,2.0,0.27,0.0923076923076923,1.0,5.0,307,50,15,11,77.0,-256.0,-288.0
Private room,2,1.0,0.0,2.0,within an hour,f,5.0,5.0,26.00973,-80.14695,t,29,59,89,179,7,0,0,3.57,4.29,4.57,3.86,0.26,169.0,1.0,,0.0371428571428571,0.1620111731843575,1.0,4.0725,362,57,24,13,808.0,434.0,359.0
Entire home/apt,8,2.0,3.0,3.0,within an hour,f,37.0,97.0,36.96596,-121.89497,t,28,55,83,353,10,1,0,4.4,4.7,4.7,3.8,0.25,348.0,0.375,2.6666666666666665,0.025,0.0793201133144475,0.3814432989690721,4.4,155,32,30,11,3080.0,820.0,-279.0
Entire home/apt,3,1.0,1.0,2.0,within an hour,f,1.0,1.0,52.34619929999999,4.8910059,t,29,59,89,272,9,8,0,5.0,4.89,5.0,4.78,0.36,304.0,0.6666666666666666,3.0,0.04,0.1066176470588235,1.0,4.9175,508,85,51,18,2351.0,315.0,-294.0
Entire home/apt,2,1.0,1.0,1.0,within a few hours,f,1.0,1.0,48.83577010296908,2.3207778130180494,t,1,1,30,30,4,4,0,5.0,5.0,5.0,5.0,0.45,145.0,0.5,2.0,0.1125,0.0333333333333333,1.0,5.0,449,74,35,18,3130.0,-76.0,-131.0
Private room,2,1.0,1.0,1.0,within an hour,f,9.0,9.0,-42.88677,147.33135,t,6,17,38,274,79,15,0,4.87,4.95,4.97,4.8,1.47,212.0,0.5,2.0,0.0186075949367088,0.0218978102189781,1.0,4.8975,510,78,22,27,1195.0,1182.0,-360.0
Entire home/apt,2,1.0,1.0,1.0,within an hour,f,1.0,1.0,35.50694,23.96444,t,0,0,0,124,20,4,0,4.95,5.0,4.85,4.95,0.25,40.0,0.5,2.0,0.0125,0.0,1.0,4.9375,386,66,36,11,2306.0,2003.0,-206.0
Hotel room,2,1.0,1.0,1.0,within an hour,f,10.0,10.0,38.16916,12.73532,t,0,0,0,105,1,0,0,5.0,4.0,4.0,4.0,0.02,90.0,0.5,2.0,0.02,0.0,1.0,4.25,265,49,18,25,4494.0,1310.0,1310.0
Entire home/apt,3,1.0,1.0,2.0,within an hour,f,174.0,201.0,49.26814061725438,-123.102182903023,t,12,42,72,347,0,0,0,,,,,,156.0,0.6666666666666666,3.0,,0.0345821325648415,0.8656716417910447,,466,68,44,18,1862.0,,
Entire home/apt,4,1.0,0.0,2.0,within an hour,t,6.0,7.0,-30.29617,153.13215,t,12,29,54,298,330,41,2,4.78,4.79,4.83,4.72,4.91,198.0,0.5,,0.0148787878787878,0.0402684563758389,0.8571428571428571,4.78,435,70,32,15,1634.0,1588.0,-408.0
Entire home/apt,10,1.0,4.0,5.0,,f,4.0,6.0,43.13244,-77.64013,t,29,59,89,89,0,0,0,,,,,,482.0,0.5,2.5,,0.3258426966292135,0.6666666666666666,,258,41,12,11,2796.0,,
Entire home/apt,5,1.0,1.0,2.0,within an hour,f,2.0,2.0,36.27887,-115.21519,t,16,46,76,166,28,3,0,4.89,4.96,4.82,4.89,0.3,106.0,0.4,5.0,0.0107142857142857,0.0963855421686747,1.0,4.89,154,31,33,17,2398.0,2373.0,-407.0
Entire home/apt,5,2.5,2.0,3.0,within an hour,t,3.0,3.0,35.51389430049983,24.010198066270444,t,27,34,60,288,23,23,2,5.0,5.0,4.83,4.91,2.99,80.0,0.6,2.5,0.13,0.09375,1.0,4.9350000000000005,496,83,59,11,1689.0,-133.0,-353.0
Entire home/apt,7,2.0,3.0,4.0,within a day,t,224.0,571.0,39.8406,18.2233,t,0,0,30,202,4,3,0,5.0,5.0,5.0,5.0,0.21,237.0,0.5714285714285714,2.3333333333333335,0.0525,0.0,0.3922942206654991,5.0,84,19,35,11,3258.0,199.0,-278.0
Entire home/apt,2,1.0,1.0,1.0,within an hour,f,274.0,361.0,-27.46093,152.99726,t,9,39,69,344,22,9,0,4.68,4.73,4.82,4.68,1.15,135.0,0.5,2.0,0.0522727272727272,0.0261627906976744,0.7590027700831025,4.7275,525,86,35,18,2751.0,146.0,-361.0
Private room,4,1.0,1.0,3.0,within an hour,t,16.0,16.0,40.8517,14.25979,t,6,7,7,73,72,13,0,4.93,4.94,4.92,4.86,1.26,173.0,0.75,4.0,0.0175,0.0821917808219178,1.0,4.9125000000000005,486,81,17,22,2814.0,1275.0,-354.0
Entire home/apt,4,1.5,2.0,2.0,within a few hours,f,388.0,1012.0,39.86066,18.26471,t,30,60,90,328,2,2,0,5.0,5.0,5.0,5.0,0.54,252.0,0.5,2.0,0.27,0.0914634146341463,0.383399209486166,5.0,78,18,32,11,2915.0,-255.0,-267.0
Entire home/apt,2,1.0,1.0,1.0,within an hour,f,4.0,4.0,39.48217786937153,-0.3614936061573077,t,0,0,0,258,0,0,0,,,,,,105.0,0.5,2.0,,0.0,1.0,,458,68,9,18,3455.0,,
Entire home/apt,4,2.0,1.0,2.0,within an hour,t,230.0,243.0,20.708915,-156.443297,t,14,31,50,133,0,0,0,,,,,,216.0,0.5,4.0,,0.1052631578947368,0.9465020576131687,,129,23,29,12,2944.0,,
Entire home/apt,8,2.0,3.0,5.0,within an hour,t,34.0,47.0,-32.070045,152.54128,t,22,36,66,278,4,3,1,5.0,5.0,5.0,4.75,0.24,221.0,0.625,2.6666666666666665,0.06,0.079136690647482,0.723404255319149,4.9375,232,44,22,16,2051.0,64.0,-418.0
Entire home/apt,5,2.0,2.0,2.0,within an hour,f,1.0,2.0,51.500714460953255,0.027545616030693,t,9,36,62,322,2,2,2,5.0,5.0,5.0,5.0,2.0,113.0,0.4,2.5,1.0,0.0279503105590062,0.5,5.0,406,73,31,18,395.0,-323.0,-328.0
Entire home/apt,6,1.0,1.0,4.0,within an hour,f,57.0,63.0,45.44117,9.20241,t,2,2,2,2,0,0,0,,,,,,96.0,0.6666666666666666,6.0,,1.0,0.9047619047619048,,392,61,21,18,1442.0,,
Entire home/apt,6,1.0,3.0,5.0,within an hour,f,177.0,269.0,37.390194,24.939028,t,28,58,88,363,0,0,0,,,,,,139.0,0.8333333333333334,2.0,,0.0771349862258953,0.6579925650557621,,456,76,36,11,241.0,,
Entire home/apt,4,1.0,2.0,2.0,within an hour,t,1.0,1.0,-43.36461,147.22056,t,9,16,46,210,79,45,3,5.0,5.0,5.0,4.86,4.02,300.0,0.5,2.0,0.050886075949367,0.0428571428571428,1.0,4.965,419,69,42,11,3710.0,162.0,-409.0
Entire home/apt,3,1.0,0.0,2.0,within an hour,f,12.0,14.0,40.78335,-73.94685,t,0,3,33,308,10,2,0,4.6,4.0,4.7,4.2,0.14,96.0,0.6666666666666666,,0.014,0.0,0.8571428571428571,4.375,256,46,24,18,2232.0,1744.0,-356.0
Entire home/apt,1,1.0,0.0,1.0,within a few hours,t,3.0,3.0,48.84556780115347,2.292554327876018,t,6,36,66,246,0,0,0,,,,,,45.0,1.0,,,0.024390243902439,1.0,,194,33,3,18,3011.0,,
Private room,2,1.0,1.0,1.0,within a few hours,f,3.0,3.0,38.7293759,-9.1368848,t,29,52,82,173,0,0,0,,,,,,68.0,0.5,2.0,,0.1676300578034682,1.0,,416,65,11,27,2530.0,,
Entire home/apt,2,1.0,1.0,1.0,within an hour,t,82.0,82.0,51.51421626123852,-0.1360845815641019,t,21,51,81,253,2,2,1,5.0,5.0,5.0,4.0,0.39,274.0,0.5,2.0,0.195,0.0830039525691699,1.0,4.75,494,75,35,18,103.0,-196.0,-342.0
Entire home/apt,4,1.0,2.0,3.0,within an hour,f,1.0,1.0,45.8272,10.09325,t,21,41,66,187,8,8,0,5.0,5.0,4.75,5.0,1.2,105.0,0.75,2.0,0.15,0.1122994652406417,1.0,4.9375,445,81,42,18,-157.0,-166.0,-306.0
Private room,1,1.0,1.0,1.0,within a day,t,1.0,2.0,46.23028,6.06797,t,27,52,82,357,23,14,0,4.96,4.87,4.83,4.74,1.29,65.0,1.0,1.0,0.0560869565217391,0.0756302521008403,0.5,4.85,52,10,4,33,799.0,171.0,-270.0
Entire home/apt,6,2.0,3.0,3.0,within an hour,f,27.0,27.0,41.7970379,3.0516211,t,0,0,0,4,0,0,0,,,,,,183.0,0.5,2.0,,0.0,1.0,,315,58,37,18,2407.0,,
Entire home/apt,7,2.0,4.0,5.0,within an hour,f,50.0,54.0,-33.62555070627819,115.1150513937472,t,0,7,37,274,0,0,0,,,,,,479.0,0.7142857142857143,1.75,,0.0,0.925925925925926,,391,66,56,11,2608.0,,
Entire home/apt,4,1.5,2.0,3.0,within an hour,f,133.0,138.0,45.45995931753149,-73.57554034821945,t,2,32,62,178,0,0,0,,,,,,152.0,0.75,2.0,,0.0112359550561797,0.9637681159420288,,467,62,44,18,756.0,,
Private room,1,1.0,1.0,1.0,,f,1.0,2.0,32.75194,-117.17288,t,30,60,89,89,0,0,0,,,,,,70.0,1.0,1.0,,0.3370786516853932,0.5,,508,67,13,27,2740.0,,
Private room,2,1.0,0.0,1.0,a few days or more,f,1.0,3.0,53.45669,-2.19313,t,2,32,57,323,27,9,0,4.7,4.56,4.78,4.85,0.35,25.0,0.5,,0.0129629629629629,0.0061919504643962,0.3333333333333333,4.7225,473,86,16,20,2274.0,1947.0,-314.0
