property_type,room_type,accommodates,bathrooms,bedrooms,beds,host_listings_count,host_total_listings_count,latitude,longitude,city,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,description_char_len,description_word_count,amenities_char_len,amenities_item_count,bathrooms_per_bedroom,accommodates_per_bedroom,beds_per_bedroom,availability_30_share,review_scores_avg_quality,reviews_activity_ratio
Entire guest suite,Entire home/apt,4,1.0,1.0,3.0,1.0,1.0,37.77503,-122.45629,San Francisco,t,19,42,71,71,45,20,1,4.96,4.96,5.0,4.82,1.9,236.0,363,59,1515,70,1.0,4.0,3.0,0.2676056338028169,4.96,23.68421052631579
Entire home,Entire home/apt,10,3.0,4.0,8.0,3.0,3.0,33.34167,-118.32436,Los Angeles,t,5,22,30,203,174,41,3,4.99,4.97,5.0,4.93,3.23,505.0,362,67,615,37,0.75,2.5,2.0,0.0246305418719211,4.98,53.86996904024768
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,12.0,14.0,48.13683,11.60849,Munich,t,0,0,0,0,726,99,8,4.7,4.75,4.78,4.66,6.73,107.0,224,36,859,42,0.5,2.0,1.0,0.0732394366197183,4.725,107.87518573551262
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,10.0,10.0,52.50682186807835,13.39880551653292,Berlin,t,28,49,76,148,4,4,1,5.0,5.0,5.0,4.75,1.4,168.0,344,56,464,27,1.0,4.0,2.0,0.1891891891891892,5.0,2.857142857142857
Entire rental unit,Entire home/apt,7,2.0,2.0,3.0,1.0,1.0,40.73844,-74.20877,Newark,t,27,57,87,362,5,0,0,5.0,5.0,4.6,5.0,0.32,189.0,514,83,980,50,1.0,3.5,1.5,0.074585635359116,5.0,15.625
Private room in rental unit,Private room,4,1.0,2.0,2.0,1.0,1.0,40.57942281758896,-73.95640552507665,New York City,t,29,59,89,364,0,0,0,4.86,4.87,4.88,4.77,0.87,212.0,407,62,94,6,0.5,2.0,1.0,0.0796703296703296,4.855,27.85923753665689
Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,239.0,243.0,22.22122,-159.47167,Hawaii,t,30,60,90,90,1,0,0,5.0,5.0,5.0,5.0,0.04,329.0,59,11,373,25,1.0,3.0,1.5,0.3333333333333333,5.0,25.0
Entire rental unit,Entire home/apt,1,1.0,0.0,1.0,83.0,86.0,40.74926,-73.97643,New York City,t,30,60,90,365,1,0,0,4.0,4.0,5.0,5.0,0.02,130.0,493,74,336,23,1.0,2.0,1.0,0.0821917808219178,4.0,50.0
Entire serviced apartment,Entire home/apt,6,2.0,2.0,2.0,58.0,76.0,1.2945864490836356,103.8380394171201,Singapore,t,19,49,79,351,3,3,0,4.33,5.0,4.33,4.33,0.48,606.0,348,53,350,24,1.0,3.0,1.0,0.0541310541310541,4.665,6.25
Entire rental unit,Entire home/apt,8,2.0,3.0,4.0,22.0,29.0,51.38786832689403,-0.2897029754684939,London,t,16,16,16,16,3,3,0,4.67,4.67,4.67,5.0,0.52,166.0,555,87,336,23,0.6666666666666666,2.6666666666666665,1.3333333333333333,1.0,4.67,5.769230769230769
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,18.0,133.0,30.26058,-97.72066,Austin,t,28,58,88,178,1,1,0,3.0,3.0,4.0,3.0,0.1,118.0,488,78,714,41,1.0,2.0,1.0,0.1573033707865168,3.0,10.0
Entire condo,Entire home/apt,4,2.0,2.0,2.0,1.0,1.0,20.72577,-156.44584,Hawaii,t,10,34,57,218,22,11,3,4.95,4.91,4.91,4.77,1.32,325.0,499,79,1507,76,1.0,2.0,1.0,0.0458715596330275,4.93,16.666666666666664
Entire condo,Entire home/apt,4,1.0,2.0,2.0,6.0,6.0,41.12843,16.8713,Puglia,t,10,26,54,329,181,110,9,4.76,4.63,4.93,4.7,9.03,54.0,367,61,760,43,0.5,2.0,1.0,0.0303951367781155,4.695,20.044296788482836
Entire vacation home,Entire home/apt,4,1.0,1.0,3.0,4.0,4.0,41.32035,16.29347,Puglia,t,30,60,84,359,0,0,0,4.86,4.87,4.88,4.77,0.87,112.0,205,29,930,49,1.0,4.0,3.0,0.0835654596100278,4.855,27.85923753665689
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,3.0,7.0,39.83927,3.12022,Mallorca,t,7,35,63,211,177,39,0,4.75,4.76,4.81,4.6,3.79,456.0,457,70,596,35,1.0,4.0,2.0,0.0331753554502369,4.755,46.70184696569921
Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,8.0,8.0,-34.0589131,151.1569258,Sydney,t,28,58,88,271,0,0,0,4.86,4.87,4.88,4.77,0.87,285.0,314,54,724,44,0.5,2.0,1.5,0.1033210332103321,4.855,27.85923753665689
Private room in condo,Private room,3,1.0,1.0,2.0,15.0,15.0,21.28196317523694,-157.82823503823172,Hawaii,t,16,37,61,277,23,5,0,4.57,4.48,4.87,4.48,0.92,142.0,495,76,1183,71,1.0,3.0,2.0,0.0577617328519855,4.525,25.0
Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,3.0,3.0,51.45906,-2.565,Bristol,t,12,42,72,252,102,14,0,4.87,4.69,4.62,4.82,1.28,75.0,416,76,1041,55,0.5,1.5,1.0,0.0476190476190476,4.78,79.6875
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,2.0,2.0,-22.989640864303308,-43.43976375262977,Rio de Janeiro,t,0,0,26,206,2,2,0,5.0,5.0,5.0,5.0,0.17,656.0,36,7,165,11,1.0,2.0,1.0,0.0,5.0,11.76470588235294
Entire home,Entire home/apt,10,2.0,4.0,5.0,1.0,1.0,45.56977585751,-122.66108446624338,Portland,t,15,37,59,331,115,99,7,4.83,4.79,4.83,4.74,7.44,146.0,480,79,969,49,0.5,2.5,1.25,0.0453172205438066,4.8100000000000005,15.456989247311828
Private room in rental unit,Private room,2,2.0,1.0,1.0,9.0,9.0,53.34436,-6.28129,Ireland,t,20,50,76,166,123,62,3,4.37,4.33,4.37,4.18,5.03,62.0,518,90,643,40,2.0,2.0,1.0,0.1204819277108433,4.35,24.45328031809145
Entire home,Entire home/apt,6,3.0,3.0,3.0,1.0,1.0,34.09149,-118.60048,Los Angeles,t,27,57,87,87,0,0,0,4.86,4.87,4.88,4.77,0.87,300.0,433,70,517,29,1.0,2.0,1.0,0.3103448275862069,4.855,27.85923753665689
Entire home,Entire home/apt,14,3.0,5.0,7.0,1.0,1.0,36.1851791,-115.0344354,"Clark County, NV",t,14,31,50,225,5,5,0,4.8,4.8,4.4,4.4,0.86,499.0,483,91,909,51,0.6,2.8,1.4,0.0622222222222222,4.8,5.813953488372093
Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,35.0,53.0,48.85971,2.35399,Paris,t,5,21,50,230,46,46,3,4.63,4.72,4.98,4.59,4.38,195.0,301,51,500,33,0.5,3.0,1.5,0.0217391304347826,4.675,10.502283105022832
Entire guesthouse,Entire home/apt,4,1.0,1.0,2.0,1.0,1.0,45.59464,-122.74913,Portland,t,24,44,70,153,221,29,1,5.0,4.99,4.95,4.91,2.67,125.0,478,81,909,47,1.0,4.0,2.0,0.1568627450980392,4.995,82.77153558052434
Entire villa,Entire home/apt,12,1.0,2.0,6.0,576.0,1081.0,38.075361,13.083417,Sicily,t,30,60,90,365,0,0,0,4.86,4.87,4.88,4.77,0.87,235.0,449,74,402,30,0.5,6.0,3.0,0.0821917808219178,4.855,27.85923753665689
