property_type,room_type,accommodates,bathrooms,bedrooms,beds,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,total_capacity,bedrooms_per_accommodates,bathrooms_per_accommodates,review_activity_ratio,host_experience_days,days_since_last_review,review_scores_consistency,booking_pressure,description_length,amenities_count
Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,a few days or more,33%,f,1.0,1.0,48.12022,11.63181,t,4,34,64,64,21,13,0,4.86,4.9,4.71,4.76,1.33,108.0,3.0,0.25,0.25,0.0044039735099337,934.0,-300.0,0.0877021474461527,301,352,4
Entire rental unit,Entire home/apt,2,1.5,0.0,1.0,within an hour,99%,f,103.0,151.0,48.89037,2.34345,t,21,26,48,315,6,6,5,3.67,3.83,4.33,3.33,4.86,65.0,2.0,0.0,0.5,0.0952941176470588,1687.0,-339.0,0.4160128203152718,50,268,43
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,within an hour,99%,,345.0,386.0,41.43128,2.17784,t,6,12,33,308,122,19,0,4.65,4.6,4.56,4.48,1.8,94.0,8.0,0.4,0.2,0.0310344827586206,4784.0,-383.0,0.0718215380880507,57,515,27
Private room in home,Private room,2,1.0,1.0,1.0,within a few hours,100%,f,4.0,7.0,43.74196998830655,-79.32133084420758,t,1,31,61,335,0,0,0,,,,,,35.0,2.0,0.3333333333333333,0.3333333333333333,,285.0,,,30,493,32
Private room in rental unit,Private room,2,1.0,1.0,1.0,within an hour,100%,f,2.0,2.0,35.89183,14.49241,t,23,53,83,83,2,2,0,5.0,5.0,4.5,5.0,0.55,30.0,2.0,0.3333333333333333,0.3333333333333333,0.0019434628975265,112.0,-275.0,0.25,282,477,33
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,t,7.0,7.0,41.70082,2.8376,t,11,11,12,287,0,0,0,,,,,,87.0,8.0,0.2,0.2,,595.0,,,78,153,29
Private room in home,Private room,1,1.0,1.0,1.0,within a day,100%,f,1.0,1.0,-34.13879,18.42142,t,28,58,88,363,0,0,0,,,,,,617.0,1.0,0.5,0.5,,1620.0,,,2,49,38
Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,within a day,71%,f,5.0,6.0,36.76884,14.63515,t,24,54,84,359,3,1,0,4.33,4.33,4.0,4.33,0.03,90.0,12.0,0.4,0.2,0.0042857142857142,3031.0,-248.0,0.165,6,222,21
Private room in home,Private room,2,1.0,1.0,1.0,,,f,1.0,1.0,34.1087,-118.38772,t,30,60,89,89,0,0,0,,,,,,102.0,2.0,0.3333333333333333,0.3333333333333333,,2549.0,,,276,0,23
Entire rental unit,Entire home/apt,3,1.0,2.0,3.0,within an hour,100%,f,19.0,20.0,43.32413,-1.97191,t,27,57,87,270,10,10,0,4.2,4.4,4.7,4.0,1.63,146.0,9.0,0.5,0.25,0.0169791666666666,2476.0,-307.0,0.298607881119482,95,510,16
Entire rental unit,Entire home/apt,6,1.0,4.0,4.0,within an hour,100%,t,1.0,2.0,43.41688177861717,-2.722357660531997,t,22,52,82,307,61,17,0,4.84,4.87,4.43,4.72,1.12,100.0,24.0,0.5714285714285714,0.1428571428571428,0.0189830508474576,1297.0,-247.0,0.2007485989988474,58,345,29
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,t,7.0,7.0,37.977325,23.730145,t,14,44,74,347,81,8,1,4.84,4.94,4.93,4.78,1.17,72.0,6.0,0.25,0.25,0.061578947368421,1750.0,-352.0,0.0763216876123687,18,267,41
Private room in rental unit,Private room,2,1.0,1.0,1.0,within a few hours,100%,t,1.0,1.0,40.74660568319967,-73.88225566595793,t,5,9,12,52,62,62,4,4.98,4.97,4.79,4.94,8.61,124.0,2.0,0.3333333333333333,0.3333333333333333,0.027420382165605,2922.0,-424.0,0.0883176086632785,313,516,33
Entire condo,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,f,1.0,2.0,38.920100067059785,-77.0445665458207,t,24,54,84,263,2,2,0,5.0,5.0,5.0,4.5,0.24,92.0,2.0,0.3333333333333333,0.3333333333333333,0.0023300970873786,4126.0,-311.0,0.25,102,524,44
