property_type,room_type,accommodates,bathrooms,bedrooms,beds,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,total_capacity,bedrooms_per_accommodates,bathrooms_per_accommodates,review_activity_ratio,host_experience_days,days_since_last_review,review_scores_consistency,booking_pressure,description_length,amenities_count
Entire condo,Entire home/apt,4,1.0,1.0,2.0,within a few hours,100%,f,3.0,5.0,45.4423784,9.2215478,t,11,39,69,151,1,1,0,4.0,3.0,4.0,4.0,0.11,127.0,8.0,0.2,0.2,0.0005116279069767,-95.0,-172.0,0.5,214,310,25
Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,within a day,90%,f,105.0,198.0,48.8405,2.30881,t,30,60,90,91,15,1,0,4.2,4.13,4.4,3.6,0.19,180.0,4.0,0.3333333333333333,0.3333333333333333,0.000690909090909,3388.0,-61.0,0.3414064049389428,274,179,28
Entire condo,Entire home/apt,6,2.0,2.0,4.0,within a few hours,100%,t,1.0,1.0,20.72507,-156.44706,t,4,8,20,174,98,10,1,4.78,4.65,4.96,4.76,0.83,241.0,24.0,0.2857142857142857,0.2857142857142857,0.0043229166666666,3186.0,-436.0,0.1284198842339714,191,249,48
Entire condo,Entire home/apt,4,2.0,2.0,2.0,within a day,100%,f,1.0,1.0,21.36171,-158.08126,t,5,35,65,340,1,0,0,5.0,5.0,5.0,5.0,0.04,175.0,8.0,0.4,0.4,0.0015384615384615,2192.0,261.0,0.0,25,191,43
Entire serviced apartment,Entire home/apt,4,1.0,1.0,2.0,within a day,92%,f,12.0,19.0,51.4925103,-0.2008422,t,17,41,69,281,10,3,0,3.6,4.2,4.3,3.9,0.14,306.0,8.0,0.2,0.2,0.0016470588235294,1792.0,-134.0,0.3162277660168379,84,409,27
Private room in rental unit,Private room,1,2.0,1.0,1.0,within an hour,100%,f,8.0,10.0,51.5311421,-0.1879953,t,25,55,85,175,1,1,1,5.0,5.0,5.0,5.0,1.0,49.0,1.0,0.5,1.0,0.0052356020942408,-175.0,-330.0,0.0,190,214,26
Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,within a few hours,100%,t,4.0,4.0,37.0836,25.15261,t,9,9,9,9,89,9,0,4.85,4.81,4.76,4.79,0.98,65.0,12.0,0.2,0.2,0.0027450980392156,2379.0,-275.0,0.0377491721763536,356,242,69
Entire home,Entire home/apt,6,1.5,2.0,3.0,within an hour,100%,t,1.0,1.0,52.0578455,4.3233505,t,13,30,42,92,86,59,2,4.97,4.92,4.7,4.86,5.12,100.0,18.0,0.2857142857142857,0.2142857142857142,0.0186861313868613,2692.0,-350.0,0.1172959220660858,273,428,63
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,within a few hours,98%,f,46.0,158.0,41.37538,2.15751,t,0,0,11,226,3,2,0,5.0,4.67,5.0,4.67,0.23,50.0,8.0,0.4,0.2,0.0016428571428571,4457.0,-354.0,0.1905255888325765,139,519,24
Entire home,Entire home/apt,8,3.0,4.0,6.0,within an hour,100%,t,266.0,406.0,35.57856,24.07734,t,0,0,0,209,48,8,0,4.88,4.83,4.58,4.67,0.47,451.0,48.0,0.4444444444444444,0.3333333333333333,0.0029936305732484,3603.0,-293.0,0.1392838827718411,156,363,64
Entire home,Entire home/apt,8,2.0,3.0,6.0,within an hour,100%,t,10.0,10.0,34.17395736737473,-118.33393242439584,t,2,15,17,185,8,8,6,5.0,5.0,5.0,5.0,5.71,302.0,48.0,0.3333333333333333,0.2222222222222222,0.0315469613259668,3473.0,-412.0,0.0,180,492,57
Entire rental unit,Entire home/apt,3,1.5,1.0,2.0,within a few hours,90%,f,2.0,2.0,25.992135840631505,-80.11812903336806,t,6,6,6,260,0,0,0,,,,,,104.0,6.0,0.25,0.375,,1552.0,,,105,499,18
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,,5.0,5.0,45.553665,-73.600578,t,0,0,30,305,2,2,1,5.0,5.0,5.0,5.0,0.81,33.0,6.0,0.25,0.25,0.0132786885245901,223.0,-424.0,0.0,60,508,33
Entire condo,Entire home/apt,6,2.0,2.0,3.0,within an hour,100%,f,11.0,12.0,53.39523,-2.3522,t,27,55,84,289,14,3,1,4.93,5.0,4.93,4.93,0.35,262.0,18.0,0.2857142857142857,0.2857142857142857,0.0045454545454545,1943.0,-335.0,0.0350000000000001,76,510,25
Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,within an hour,100%,t,17.0,60.0,48.19493,16.33136,t,30,60,90,180,5,1,0,4.4,4.2,4.4,4.0,0.15,90.0,2.0,0.0,0.3333333333333333,0.0008064516129032,2061.0,-148.0,0.1914854215512678,185,346,43
Entire rental unit,Entire home/apt,4,1.0,1.0,0.0,within a day,75%,f,1.0,2.0,55.66743268084701,12.55337990820408,t,3,18,45,135,3,3,0,5.0,5.0,5.0,4.67,0.42,875.0,0.0,0.2,0.2,0.0018181818181818,3692.0,-210.0,0.165,230,505,20
Room in hotel,Hotel room,4,1.0,1.0,1.0,within an hour,99%,f,2892.0,4508.0,40.72095,-74.03437,t,24,54,84,353,1,1,0,5.0,5.0,5.0,5.0,0.64,324.0,4.0,0.2,0.2,0.0492307692307692,315.0,-311.0,0.0,12,448,28
Private room in bed and breakfast,Private room,3,1.0,1.0,2.0,within an hour,100%,f,3.0,3.0,37.03682,15.05927,t,3,3,32,32,0,0,0,,,,,,31.0,6.0,0.25,0.25,,85.0,,,333,476,17
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within a few hours,100%,f,1.0,2.0,48.88330686177342,2.336693725610271,t,12,42,72,252,0,0,0,,,,,,100.0,6.0,0.25,0.25,,3430.0,,,113,514,15
Room in hotel,Private room,2,1.0,0.0,1.0,within an hour,100%,f,11.0,11.0,1.31379,103.89794,t,29,59,89,326,1,1,0,4.0,5.0,5.0,5.0,0.71,155.0,2.0,0.0,0.3333333333333333,0.01775,-287.0,-321.0,0.5,39,314,10
Entire condo,Entire home/apt,5,2.0,2.0,3.0,within an hour,100%,f,48.0,79.0,19.62999,-155.98944,t,4,8,22,129,29,6,0,4.79,4.72,4.86,4.52,0.57,382.0,15.0,0.3333333333333333,0.3333333333333333,0.0024050632911392,1134.0,-253.0,0.1466003638012769,236,195,40
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,a few days or more,17%,f,1.0,1.0,-22.98513,-43.1924,t,26,56,81,356,4,0,0,5.0,4.75,5.0,4.75,0.12,500.0,2.0,0.3333333333333333,0.3333333333333333,0.012,734.0,484.0,0.1443375672974064,9,92,28
Trullo,Entire home/apt,5,1.0,2.0,2.0,within an hour,100%,,17.0,20.0,40.89004,17.14273,t,29,59,89,172,29,28,0,4.83,4.86,4.9,4.86,1.93,139.0,10.0,0.3333333333333333,0.1666666666666666,0.0099484536082474,608.0,-321.0,0.0287228132326902,193,184,38
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,,,f,1.0,1.0,40.92092,17.18657,t,0,0,0,157,14,1,0,4.71,4.86,4.5,4.64,0.21,120.0,8.0,0.4,0.2,0.0010047846889952,2785.0,-189.0,0.1497497913187195,208,220,60
Entire rental unit,Entire home/apt,2,1.5,1.0,1.0,within an hour,100%,f,1.0,1.0,51.17088,4.38947,t,26,53,83,252,14,9,0,5.0,5.0,4.86,4.93,0.78,111.0,2.0,0.3333333333333333,0.5,0.0068421052631578,508.0,-249.0,0.0670198975429435,113,48,44
Entire rental unit,Entire home/apt,3,1.0,1.0,3.0,within a day,75%,f,1.0,3.0,45.44645,9.16649,t,4,9,39,169,23,12,0,4.96,4.7,4.87,4.7,0.18,99.0,9.0,0.25,0.25,0.0009137055837563,3400.0,-296.0,0.1294539815275424,196,151,26
Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,within a few hours,100%,,9.0,9.0,53.26947,-9.05477,t,11,21,42,92,486,76,8,4.73,4.85,4.96,4.68,5.16,124.0,2.0,0.0,0.3333333333333333,0.0188321167883211,2302.0,-342.0,0.125565388012249,273,496,30
Entire condo,Entire home/apt,4,2.0,2.0,3.0,within a day,88%,f,15.0,53.0,20.76305,-156.45905,t,5,5,16,164,1,0,0,1.0,1.0,1.0,1.0,0.02,250.0,12.0,0.4,0.4,9.900990099009902e-05,4162.0,1404.0,0.0,201,143,14
Entire home,Entire home/apt,8,1.0,2.0,5.0,within an hour,100%,t,9.0,9.0,30.27382,-97.68108,t,21,51,81,322,16,16,4,4.56,4.5,4.38,4.5,4.03,79.0,40.0,0.2222222222222222,0.1111111111111111,0.0915909090909091,119.0,-413.0,0.0754983443527074,43,541,70
Entire place,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,t,1.0,1.0,52.85639,-6.247519,t,6,24,50,193,1129,141,6,4.96,4.9,4.94,4.96,10.71,80.0,2.0,0.3333333333333333,0.3333333333333333,0.061907514450867,2819.0,-341.0,0.0282842712474617,172,279,59
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,f,10.0,11.0,34.049612295893446,-118.23861951195649,t,30,60,90,304,0,0,0,,,,,,157.0,8.0,0.2,0.2,,2577.0,,,61,536,54
Entire rental unit,Entire home/apt,4,1.0,1.0,4.0,within an hour,100%,t,2.0,2.0,-22.9728844,-43.4136882,t,5,24,49,208,10,3,1,5.0,5.0,4.8,5.0,0.69,299.0,16.0,0.2,0.2,0.0043670886075949,634.0,-342.0,0.1,157,149,5
Entire home,Entire home/apt,7,1.0,3.0,4.0,within an hour,93%,t,33.0,35.0,51.5364391,-0.0687077,t,10,40,70,151,0,0,0,,,,,,260.0,28.0,0.375,0.125,,4285.0,,,214,510,52
Private room in home,Private room,1,1.0,1.0,1.0,a few days or more,0%,f,2.0,2.0,34.1295016,-118.1724777,t,0,0,0,0,0,0,0,,,,,,134.0,1.0,0.5,0.5,,110.0,,,365,406,36
Entire home,Entire home/apt,2,1.0,1.0,0.0,,,f,1.0,1.0,33.85453,-118.25942,,0,0,0,274,0,0,0,,,,,,84.0,0.0,0.3333333333333333,0.3333333333333333,,805.0,,,91,208,35
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,f,4.0,5.0,44.83399,-0.56474,t,30,60,90,365,0,0,0,,,,,,59.0,8.0,0.2,0.2,,3699.0,,,0,474,17
Entire villa,Entire home/apt,8,4.0,4.0,4.0,within an hour,100%,f,1.0,1.0,39.90985,4.06847,t,0,0,0,204,11,5,0,4.91,5.0,4.82,4.82,0.36,660.0,32.0,0.4444444444444444,0.4444444444444444,0.0022222222222222,868.0,-251.0,0.0861684396980703,161,477,42
Entire loft,Entire home/apt,2,1.0,1.0,1.0,,,f,3.0,3.0,40.95871,16.92134,t,30,60,90,120,1,0,0,5.0,5.0,5.0,5.0,0.03,125.0,2.0,0.3333333333333333,0.3333333333333333,0.0001219512195121,2434.0,503.0,0.0,245,206,52
Entire home,Entire home/apt,4,1.5,2.0,2.0,,,f,1.0,1.0,40.00421,18.42112,t,29,59,89,211,2,0,0,5.0,5.0,5.0,5.0,0.03,60.0,8.0,0.4,0.3,0.0001935483870967,1778.0,856.0,0.0,154,395,28
Entire condo,Entire home/apt,4,2.5,2.0,2.0,,,f,1.0,1.0,37.77831,-122.41228,t,0,0,0,89,27,2,0,4.96,4.7,4.48,4.78,0.23,144.0,8.0,0.4,0.5,0.0008303249097472,3696.0,-243.0,0.1989974874213238,276,395,48
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,within an hour,99%,f,43.0,49.0,38.0110908,23.7350739,t,23,53,83,358,0,0,0,,,,,,45.0,8.0,0.4,0.2,,-171.0,,,7,489,21
Entire rental unit,Entire home/apt,6,2.0,3.0,3.0,within an hour,100%,t,1.0,2.0,38.709763,-9.148896,t,3,3,5,172,139,53,2,5.0,4.98,4.94,4.9,4.17,167.0,18.0,0.4285714285714285,0.2857142857142857,0.0214948453608247,3429.0,-428.0,0.0443471156521667,193,99,46
Entire home,Entire home/apt,8,4.0,4.0,4.0,within a day,100%,f,4.0,12.0,30.3388392,-97.8822584,t,30,60,90,365,0,0,0,,,,,,500.0,32.0,0.4444444444444444,0.4444444444444444,,4710.0,,,0,427,9
Entire home,Entire home/apt,6,1.5,3.0,4.0,within an hour,100%,t,1.0,1.0,30.315911283965224,-97.66747492883606,t,0,0,0,274,48,18,0,4.96,4.96,4.88,4.9,1.7,222.0,24.0,0.4285714285714285,0.2142857142857142,0.0184782608695652,478.0,-334.0,0.0412310562561765,91,491,37
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,,,f,1.0,1.0,45.7307383,4.828141899999999,t,30,60,90,365,0,0,0,,,,,,64.0,2.0,0.3333333333333333,0.3333333333333333,,2780.0,,,0,193,6
Entire home,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,t,1.0,4.0,-37.75046,145.69309,t,27,27,27,27,246,36,2,4.97,4.99,4.94,4.82,2.09,189.0,2.0,0.3333333333333333,0.3333333333333333,0.0061651917404129,3246.0,-415.0,0.0761577310586389,338,165,61
Private room in home,Private room,1,1.0,1.0,1.0,within a few hours,90%,t,13.0,18.0,34.08223,-118.09393,t,0,30,60,335,16,0,0,5.0,5.0,5.0,5.0,0.16,50.0,1.0,0.5,0.5,0.0051612903225806,4076.0,62.0,0.0,30,495,47
Private room in rental unit,Private room,1,1.5,1.0,1.0,,,f,2.0,2.0,41.0740162,28.9985464,t,30,60,90,365,0,0,0,,,,,,800.0,1.0,0.5,0.75,,164.0,,,0,140,32
Entire home,Entire home/apt,10,2.0,3.0,6.0,,,f,1.0,1.0,36.7856723,14.5641423,t,29,59,89,269,0,0,0,,,,,,80.0,60.0,0.2727272727272727,0.1818181818181818,,-355.0,,,96,442,20
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within a few hours,90%,f,1.0,1.0,55.68306,12.50857,t,0,0,0,222,5,5,0,4.4,5.0,4.8,4.4,1.22,600.0,2.0,0.3333333333333333,0.3333333333333333,0.0084722222222222,-121.0,-307.0,0.2999999999999997,143,452,22
Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,,,f,1.0,1.0,34.14124392449931,-118.34085045287289,,30,60,90,365,0,0,0,,,,,,160.0,3.0,0.25,0.25,,383.0,,,0,0,66
Private room in rental unit,Private room,1,1.0,1.0,1.0,,,f,1.0,1.0,41.40988,2.15091,t,0,0,11,227,3,3,0,4.67,4.67,4.67,4.0,0.56,40.0,1.0,0.5,0.5,0.0040287769784172,2211.0,-277.0,0.3349999999999999,138,536,18
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,t,1.0,2.0,40.45533,-3.7036,t,17,32,46,311,16,16,0,4.94,5.0,4.63,4.94,3.02,166.0,8.0,0.2,0.2,0.0549090909090909,2681.0,-343.0,0.1674066904278322,54,482,39
Private room in casa particular,Private room,1,1.0,1.0,1.0,a few days or more,0%,f,1.0,2.0,19.41061,-99.16843,t,30,60,90,364,4,1,0,5.0,5.0,5.0,5.0,0.16,650.0,1.0,0.5,0.5,0.08,506.0,-78.0,0.0,1,433,13
Entire condo,Entire home/apt,2,2.0,2.0,2.0,,,f,1.0,1.0,37.64907538160199,13.110915935581977,t,29,59,89,364,1,0,0,5.0,5.0,5.0,5.0,0.06,70.0,4.0,0.6666666666666666,0.6666666666666666,0.03,3343.0,139.0,0.0,1,489,5
Entire condo,Entire home/apt,3,1.0,1.0,3.0,within an hour,100%,,2.0,2.0,35.51176,24.0117,t,0,0,28,28,53,14,0,5.0,4.98,4.91,4.92,1.82,68.0,9.0,0.25,0.25,0.0053846153846153,637.0,-305.0,0.0442530601578392,337,233,34
Private room in home,Private room,2,1.0,1.0,1.0,within a few hours,100%,t,1.0,1.0,-31.9672,115.78822,t,18,39,63,244,61,8,1,4.89,4.97,4.87,4.85,0.61,135.0,2.0,0.3333333333333333,0.3333333333333333,0.005,2780.0,-336.0,0.0525991127935316,121,520,56
Entire home,Entire home/apt,6,3.0,3.0,3.0,within an hour,98%,f,32.0,49.0,40.71961,-74.04609,t,30,60,90,362,4,4,0,2.5,3.0,4.5,2.75,0.92,732.0,18.0,0.4285714285714285,0.4285714285714285,0.23,1806.0,-291.0,0.898494110535326,3,451,63
Room in boutique hotel,Hotel room,2,1.0,1.0,1.0,,,f,5.0,9.0,50.85283,4.3436,t,24,54,84,359,50,1,0,4.78,4.84,4.9,4.64,0.72,180.0,2.0,0.3333333333333333,0.3333333333333333,0.1028571428571428,4085.0,-130.0,0.1113552872566006,6,300,20
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,f,3.0,4.0,37.05955,15.29695,t,23,51,81,156,20,19,0,4.7,4.65,4.95,4.7,1.63,48.0,6.0,0.25,0.25,0.0077619047619047,535.0,-319.0,0.1354006400772659,209,101,53
Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,within an hour,93%,f,1899.0,6674.0,30.48255280051712,-97.7950905275906,t,0,0,0,0,0,0,0,,,,,,82.0,8.0,0.4,0.4,,1685.0,,,365,419,34
Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,,,t,2.0,2.0,35.50353,23.83744,t,27,57,87,355,41,9,0,4.98,5.0,5.0,4.98,0.4,70.0,4.0,0.3333333333333333,0.3333333333333333,0.0363636363636363,3893.0,-243.0,0.0115470053837922,10,508,39
Entire villa,Entire home/apt,6,2.0,3.0,4.0,within a few hours,100%,t,41.0,49.0,35.488335,23.85449,t,0,0,0,119,6,3,0,5.0,5.0,4.67,5.0,0.11,107.0,24.0,0.4285714285714285,0.2857142857142857,0.0004453441295546,2735.0,-299.0,0.165,246,486,44
Entire rental unit,Entire home/apt,4,1.5,2.0,2.0,within an hour,100%,f,5255.0,5458.0,40.74572250000001,-73.9798618,t,6,29,59,334,0,0,0,,,,,,396.0,8.0,0.4,0.3,,2572.0,,,31,313,32
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,,,f,1.0,2.0,45.54177,-73.5402,t,30,60,89,89,2,0,0,5.0,5.0,5.0,5.0,0.02,111.0,2.0,0.3333333333333333,0.3333333333333333,7.220216606498195e-05,3644.0,1802.0,0.0,276,267,21
Private room in bungalow,Private room,2,1.0,1.0,1.0,within a few hours,100%,f,2.0,2.0,48.09285,11.65286,t,3,3,3,3,15,13,1,4.87,4.73,4.47,4.47,1.14,75.0,2.0,0.3333333333333333,0.3333333333333333,0.0031404958677685,2609.0,-339.0,0.1989137166378095,362,419,13
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,f,25.0,26.0,45.46077,9.19223,t,21,50,80,188,134,3,1,4.62,4.56,4.9,4.42,1.83,148.0,8.0,0.2,0.2,0.0102808988764044,3690.0,-409.0,0.2015771151032116,177,310,26
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,98%,f,137.0,203.0,40.41438218562558,-3.724186490195192,t,30,60,90,365,0,0,0,,,,,,115.0,2.0,0.3333333333333333,0.3333333333333333,,1742.0,,,0,384,26
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,t,5.0,5.0,37.96831,23.72416,t,5,14,21,210,91,40,2,4.91,4.99,4.98,4.92,3.6,93.0,2.0,0.3333333333333333,0.3333333333333333,0.023076923076923,2208.0,-343.0,0.0408248290463864,155,511,36
Private room in townhouse,Private room,2,1.0,1.0,1.0,within an hour,100%,t,1.0,1.0,45.53086,-73.58934,t,0,0,0,44,60,17,0,4.97,4.98,4.93,4.92,1.81,145.0,2.0,0.3333333333333333,0.3333333333333333,0.0056211180124223,678.0,-267.0,0.0294392028877596,321,404,45
Entire rental unit,Entire home/apt,6,1.0,1.0,2.0,within a day,73%,f,5.0,6.0,48.86603,2.34168,t,29,59,89,269,0,0,0,,,,,,640.0,12.0,0.1428571428571428,0.1428571428571428,,1159.0,,,96,212,5
Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,within an hour,100%,t,3.0,3.0,38.79634,-9.38941,t,12,20,27,61,97,8,0,4.88,4.94,4.98,4.86,0.89,74.0,12.0,0.2,0.2,0.0029180327868852,2912.0,-354.0,0.0550757054728611,304,234,54
Private room in home,Private room,1,1.5,1.0,1.0,,,f,7.0,9.0,51.51591642456483,-0.2430486698156017,t,29,59,89,269,1,1,0,3.0,3.0,4.0,4.0,0.13,80.0,1.0,0.5,0.75,0.001340206185567,2615.0,-123.0,0.5773502691896257,96,463,49
Private room in townhouse,Private room,2,1.0,1.0,1.0,within an hour,100%,t,3.0,3.0,43.66569634621739,-79.30493094687355,t,9,36,66,68,11,2,1,5.0,5.0,5.0,5.0,0.46,135.0,2.0,0.3333333333333333,0.3333333333333333,0.0015436241610738,3043.0,-408.0,0.0,297,452,61
Entire guesthouse,Entire home/apt,2,1.0,1.0,1.0,,,f,1.0,1.0,41.39908,-71.55428,t,0,0,0,59,55,0,0,4.98,4.98,4.93,4.85,1.27,250.0,2.0,0.3333333333333333,0.3333333333333333,0.0041368078175895,4107.0,91.0,0.0613731754650736,306,363,33
Private room in home,Private room,2,1.0,1.0,1.0,within an hour,100%,t,2.0,2.0,26.152275,-80.14785189999999,t,10,15,39,292,10,10,0,5.0,5.0,5.0,5.0,2.16,145.0,2.0,0.3333333333333333,0.3333333333333333,0.0291891891891891,-172.0,-317.0,0.0,73,500,45
Entire home,Entire home/apt,4,1.0,2.0,3.0,within a few hours,100%,t,1.0,1.0,-37.83783,144.94898,t,0,0,26,117,30,6,0,4.93,4.8,5.0,4.67,0.85,218.0,12.0,0.4,0.2,0.0034136546184738,2916.0,-358.0,0.1458309523615157,248,528,49
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,t,1.0,1.0,45.71408971581853,9.463974684476852,t,25,55,85,229,37,37,2,4.97,4.97,4.81,4.89,5.78,80.0,8.0,0.2,0.2,0.0421897810218978,-81.0,-364.0,0.0765941686205071,136,56,44
Private room in rental unit,Private room,2,1.0,1.0,2.0,within an hour,97%,f,17.0,17.0,39.57003,2.65789,t,1,1,2,107,121,19,2,4.39,4.29,4.65,4.45,1.65,31.0,4.0,0.3333333333333333,0.3333333333333333,0.0063706563706563,1940.0,-414.0,0.1517673658377629,258,535,11
Private room in rental unit,Private room,2,1.0,1.0,1.0,within an hour,100%,f,1.0,1.0,53.4851966,-2.1949411,t,7,34,62,122,60,24,2,4.9,5.0,4.9,4.62,2.1,95.0,2.0,0.3333333333333333,0.3333333333333333,0.0086065573770491,2288.0,-335.0,0.1636052158907737,243,510,32
Dome,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,t,17.0,17.0,36.39576,25.45038,t,0,0,0,205,26,13,0,4.96,5.0,4.81,4.81,1.37,248.0,6.0,0.25,0.25,0.0085093167701863,2651.0,-272.0,0.0994987437106622,160,497,49
Private room in rental unit,Private room,1,2.0,2.0,2.0,within a day,100%,t,3.0,4.0,40.75282,-73.99827,t,22,30,60,270,37,0,0,4.86,4.84,5.0,4.84,1.73,80.0,2.0,1.0,1.0,0.0180208333333333,245.0,65.0,0.0772442015083764,95,470,47
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,,,f,212.0,255.0,48.8745627,2.3759403,t,0,0,0,221,2,1,0,3.5,3.5,5.0,3.0,0.16,104.0,2.0,0.3333333333333333,0.3333333333333333,0.001103448275862,159.0,-277.0,0.8660254037844386,144,93,25
Private room in rental unit,Private room,2,1.0,1.0,2.0,within a few hours,100%,f,24.0,26.0,35.83616,14.48459,t,0,22,52,327,3,3,0,4.33,4.0,4.33,4.0,0.91,18.0,4.0,0.3333333333333333,0.3333333333333333,0.0233333333333333,3454.0,-271.0,0.1905255888325765,38,255,10
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within a day,100%,f,1.0,2.0,51.40425874164384,0.0048596783485476,t,5,8,8,202,7,7,2,4.86,4.86,4.86,4.86,1.22,96.0,2.0,0.3333333333333333,0.3333333333333333,0.0074390243902439,2758.0,-342.0,0.0,163,298,14
Entire home,Entire home/apt,3,1.0,1.0,1.0,within an hour,100%,t,2.0,2.0,37.30545,-121.9684,t,0,0,23,122,21,8,0,5.0,5.0,4.95,4.95,0.93,116.0,3.0,0.25,0.25,0.003811475409836,1156.0,-229.0,0.0288675134594811,243,517,38
Entire villa,Entire home/apt,8,4.5,4.0,4.0,within an hour,100%,t,2.0,2.0,38.02533721923828,12.845457077026367,t,28,58,88,341,28,14,0,4.89,4.82,4.82,4.71,1.01,881.0,32.0,0.4444444444444444,0.5,0.0404,979.0,-294.0,0.0743863786814045,24,458,86
Private room in home,Private room,2,1.0,1.0,1.0,a few days or more,38%,f,1.0,1.0,53.27067,-6.33308,t,0,0,1,209,0,0,0,,,,,,53.0,2.0,0.3333333333333333,0.3333333333333333,,2890.0,,,156,305,10
Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,within an hour,100%,f,1.0,2.0,48.8711176400601,2.2918928619468515,t,16,46,76,351,7,7,1,5.0,4.86,5.0,5.0,0.86,450.0,18.0,0.2857142857142857,0.2857142857142857,0.0573333333333333,3004.0,-315.0,0.0699999999999998,14,486,51
Private room in townhouse,Private room,2,2.5,2.0,1.0,within a few hours,90%,t,2.0,4.0,51.46725,-0.16359,t,27,57,87,362,1,1,0,5.0,5.0,5.0,5.0,0.43,150.0,2.0,0.6666666666666666,0.8333333333333334,0.1075,830.0,-277.0,0.0,3,141,42
Private room in home,Private room,2,1.0,1.0,1.0,within a few hours,100%,f,2.0,2.0,53.29570566370486,-9.094248950200813,t,7,37,67,247,14,11,0,5.0,5.0,4.93,4.79,0.85,120.0,2.0,0.3333333333333333,0.3333333333333333,0.0071428571428571,221.0,-300.0,0.0989949493661166,118,237,14
Entire condo,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,f,1.0,1.0,40.643334,22.9291501,t,24,54,84,244,11,11,1,5.0,4.91,4.91,4.82,3.0,83.0,2.0,0.3333333333333333,0.3333333333333333,0.0245901639344262,-80.0,-348.0,0.0734846922834952,121,334,53
Entire condo,Entire home/apt,5,1.0,1.0,3.0,within an hour,100%,f,94.0,123.0,21.284374,-157.83844,t,13,21,38,205,66,14,0,4.62,4.61,4.85,4.48,1.29,256.0,15.0,0.1666666666666666,0.1666666666666666,0.0080124223602484,1312.0,-381.0,0.1538397434561906,160,190,17
Entire home,Entire home/apt,5,1.0,2.0,2.0,within an hour,100%,t,1.0,2.0,44.94047,-93.29739,t,30,60,78,303,115,19,1,4.9,4.94,4.96,4.78,2.12,132.0,10.0,0.3333333333333333,0.1666666666666666,0.0336507936507936,1196.0,-434.0,0.0806225774829854,62,495,49
Entire home,Entire home/apt,6,2.5,3.0,3.0,within an hour,100%,f,2.0,2.0,39.59899565425357,3.271600056407939,t,0,5,20,204,0,0,0,,,,,,280.0,18.0,0.4285714285714285,0.3571428571428571,,-262.0,,,161,214,12
Entire home,Entire home/apt,6,1.0,2.0,2.0,,,f,1.0,1.0,35.50812946910356,27.20108933900229,t,0,0,0,259,1,1,0,5.0,5.0,4.0,4.0,0.28,85.0,12.0,0.2857142857142857,0.1428571428571428,0.0026168224299065,-76.0,-250.0,0.5773502691896257,106,410,34
Private room in resort,Private room,4,1.0,1.0,3.0,within an hour,100%,f,66.0,68.0,19.9281517213682,-155.886521123158,t,0,2,8,90,0,0,0,,,,,,348.0,12.0,0.2,0.2,,501.0,,,275,176,45
Entire home,Entire home/apt,5,1.0,2.0,5.0,within a day,100%,f,1.0,1.0,37.03967,25.08034,t,0,0,0,234,13,7,0,4.77,4.54,4.92,4.77,0.71,180.0,25.0,0.3333333333333333,0.1666666666666666,0.0053787878787878,206.0,-286.0,0.1568438714135811,131,78,8
