property_type,room_type,accommodates,bathrooms,bedrooms,beds,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,beds_per_bedroom,amenities_count,host_tenure_days,description_len,availability_30_ratio,days_since_last_review
Room in hotel,Private room,4,1.0,1.0,2.0,,,0.0,5.0,5.0,40.43898,18.18619,,0,0,0,207,0,0,0,,,,,,376.0,2.0,6,1355.0,0,0.0,
Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,,,0.0,1.0,1.0,37.49677,13.1568,1.0,28,58,88,363,5,0,0,4.6,4.4,4.8,4.2,0.08,50.0,1.5,12,3124.0,210,0.9333333333333332,558.0
Entire villa,Entire home/apt,12,5.5,5.0,7.0,within an hour,100%,0.0,145.0,297.0,39.74397,3.13418,1.0,14,21,21,103,7,3,0,4.86,5.0,4.71,4.86,0.09,648.0,1.4,37,3173.0,167,0.4666666666666667,153.0
Entire rental unit,Entire home/apt,1,1.0,0.0,1.0,within an hour,100%,1.0,1.0,1.0,45.44904,9.20579,1.0,0,0,0,31,27,2,0,4.89,4.63,4.96,4.74,0.25,33.0,,18,3316.0,310,0.0,164.0
Private room in home,Private room,2,1.0,1.0,1.0,within an hour,100%,1.0,4.0,4.0,49.89839,-97.08139,1.0,29,59,89,364,6,2,0,4.17,4.83,4.67,4.33,0.27,64.0,1.0,18,2736.0,87,0.9666666666666668,320.0
Private room in home,Private room,2,3.0,1.0,1.0,within an hour,100%,0.0,1.0,1.0,-37.75179063368896,144.81610384616303,1.0,12,34,64,339,5,5,5,4.2,3.8,4.2,4.2,5.0,59.0,1.0,8,2474.0,366,0.4,18.0
Entire home,Entire home/apt,4,1.0,3.0,4.0,,,0.0,1.0,1.0,37.852943,15.294753,1.0,27,54,71,289,19,6,0,4.95,5.0,4.95,4.95,0.61,220.0,1.3333333333333333,58,1231.0,376,0.9,195.0
Private room in bed and breakfast,Private room,3,1.0,1.0,2.0,within an hour,100%,1.0,5.0,5.0,40.85363,14.26725,1.0,1,1,1,1,82,28,1,4.72,4.9,4.27,4.63,1.93,70.0,2.0,29,1309.0,513,0.0333333333333333,18.0
Private room in rental unit,Private room,3,1.0,1.0,2.0,,,0.0,3.0,4.0,45.69498,9.66363,1.0,2,2,2,2,42,0,0,5.0,4.95,4.93,4.88,0.47,86.0,2.0,21,3937.0,73,0.0666666666666666,528.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,1.0,5.0,5.0,-42.15114,145.33436,1.0,1,7,22,200,20,12,2,4.85,4.9,4.95,4.8,1.18,220.0,1.0,29,2869.0,295,0.0333333333333333,23.0
Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,within an hour,100%,,3.0,5.0,38.71351,-9.16162,1.0,1,1,1,1,52,10,0,4.71,4.79,4.83,4.6,1.44,126.0,3.0,19,3957.0,390,0.0333333333333333,70.0
Entire villa,Entire home/apt,9,1.5,3.0,5.0,within an hour,100%,1.0,60.0,96.0,35.3159,25.38666,1.0,27,57,87,259,3,0,0,4.67,4.33,4.33,4.67,0.1,360.0,1.6666666666666667,38,2242.0,332,0.9,608.0
Entire guest suite,Entire home/apt,3,1.0,1.0,2.0,within a few hours,90%,0.0,1.0,1.0,19.3527171,-99.1939505,1.0,5,7,33,213,7,7,1,5.0,5.0,5.0,5.0,2.41,870.0,2.0,52,3340.0,495,0.1666666666666666,89.0
Entire vacation home,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,1.0,1.0,1.0,-34.97212,117.30911,1.0,7,25,38,127,84,27,1,4.95,4.98,4.96,4.7,2.6,469.0,1.0,50,3386.0,500,0.2333333333333333,103.0
Entire villa,Entire home/apt,4,1.0,2.0,3.0,within an hour,100%,1.0,2.0,2.0,37.00531,15.32188,1.0,17,43,51,261,156,27,0,4.91,4.94,4.81,4.85,1.51,139.0,1.5,74,4991.0,225,0.5666666666666667,111.0
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,within an hour,100%,1.0,2.0,2.0,39.83858,3.12419,1.0,7,25,45,144,105,24,1,4.85,4.9,4.97,4.74,0.9,100.0,1.0,62,4177.0,206,0.2333333333333333,10.0
Private room in home,Private room,2,1.0,1.0,1.0,within an hour,100%,1.0,35.0,35.0,51.508426738756334,-0.340433945269202,1.0,21,51,81,356,0,0,0,,,,,,65.0,1.0,18,653.0,510,0.7,
Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,within an hour,100%,0.0,449.0,961.0,38.0815791,12.6869024,1.0,30,60,90,365,2,1,0,4.5,5.0,4.5,4.5,0.07,47.0,3.0,25,2415.0,416,1.0,179.0
Entire bungalow,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,1.0,3.0,3.0,34.05285,-118.18046,1.0,21,51,81,149,12,12,4,5.0,5.0,4.83,4.92,2.75,140.0,2.0,53,163.0,500,0.7,19.0
Entire rental unit,Entire home/apt,8,1.0,3.0,3.0,,,0.0,2.0,2.0,51.47005,-0.16076,1.0,17,31,55,212,5,4,0,4.4,4.0,4.4,4.6,0.41,499.0,1.0,36,523.0,513,0.5666666666666667,292.0
Entire condo,Entire home/apt,4,1.0,1.0,2.0,,,0.0,1.0,1.0,55.95146933163674,-3.184158047359115,1.0,0,0,0,180,0,0,0,,,,,,246.0,2.0,42,3330.0,493,0.0,
Private room in rental unit,Private room,1,1.0,1.0,1.0,within a day,100%,0.0,1.0,1.0,48.88678504504925,2.3481738749330403,,1,24,54,54,0,0,0,,,,,,60.0,1.0,5,1389.0,0,0.0333333333333333,
Entire home,Entire home/apt,10,2.0,5.0,8.0,within an hour,100%,0.0,3.0,4.0,38.70558,-9.39422,1.0,2,2,2,2,11,3,0,4.73,4.64,5.0,4.73,0.24,299.0,1.6,38,3846.0,500,0.0666666666666666,164.0
Entire condo,Entire home/apt,4,1.0,1.0,1.0,within an hour,100%,0.0,1.0,1.0,45.434338,12.348248,1.0,15,18,21,74,120,37,0,4.81,4.89,4.95,4.78,3.38,77.0,1.0,40,1390.0,212,0.5,68.0
Entire rental unit,Entire home/apt,5,2.0,2.0,4.0,within an hour,94%,1.0,8.0,8.0,35.9213869,14.4903171,1.0,0,0,25,148,40,13,1,4.8,4.75,4.8,4.85,1.33,120.0,2.0,60,1922.0,470,0.0,95.0
Entire villa,Entire home/apt,4,2.0,2.0,2.0,within an hour,100%,1.0,26.0,33.0,35.03748,24.78178,1.0,30,60,90,323,2,2,0,5.0,5.0,5.0,5.0,0.41,430.0,1.0,53,3621.0,486,1.0,197.0
Entire condo,Entire home/apt,4,1.0,1.0,2.0,within an hour,99%,0.0,775.0,1110.0,41.2734692,16.4255023,1.0,29,59,89,364,1,1,0,5.0,5.0,5.0,5.0,0.22,75.0,2.0,20,2632.0,433,0.9666666666666668,206.0
Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,within an hour,100%,1.0,2.0,2.0,32.82051,-96.82818,1.0,0,0,0,0,25,25,2,5.0,4.96,4.8,4.84,3.57,163.0,1.0,57,1312.0,510,0.0,14.0
Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,a few days or more,33%,0.0,1.0,1.0,48.12022,11.63181,1.0,4,34,64,64,21,13,0,4.86,4.9,4.71,4.76,1.33,108.0,1.0,4,1365.0,352,0.1333333333333333,138.0
Entire rental unit,Entire home/apt,2,1.5,0.0,1.0,within an hour,99%,0.0,103.0,151.0,48.89037,2.34345,1.0,21,26,48,315,6,6,5,3.67,3.83,4.33,3.33,4.86,65.0,,43,2118.0,268,0.7,99.0
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,within an hour,99%,,345.0,386.0,41.43128,2.17784,1.0,6,12,33,308,122,19,0,4.65,4.6,4.56,4.48,1.8,94.0,1.0,27,5215.0,515,0.2,55.0
Private room in home,Private room,2,1.0,1.0,1.0,within a few hours,100%,0.0,4.0,7.0,43.74196998830655,-79.32133084420758,1.0,1,31,61,335,0,0,0,,,,,,35.0,1.0,32,716.0,493,0.0333333333333333,
Private room in rental unit,Private room,2,1.0,1.0,1.0,within an hour,100%,0.0,2.0,2.0,35.89183,14.49241,1.0,23,53,83,83,2,2,0,5.0,5.0,4.5,5.0,0.55,30.0,1.0,33,543.0,477,0.7666666666666667,163.0
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,1.0,7.0,7.0,41.70082,2.8376,1.0,11,11,12,287,0,0,0,,,,,,87.0,2.0,29,1026.0,153,0.3666666666666666,
Private room in home,Private room,1,1.0,1.0,1.0,within a day,100%,0.0,1.0,1.0,-34.13879,18.42142,1.0,28,58,88,363,0,0,0,,,,,,617.0,1.0,38,2051.0,49,0.9333333333333332,
Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,within a day,71%,0.0,5.0,6.0,36.76884,14.63515,1.0,24,54,84,359,3,1,0,4.33,4.33,4.0,4.33,0.03,90.0,1.5,21,3462.0,222,0.8,190.0
Private room in home,Private room,2,1.0,1.0,1.0,,,0.0,1.0,1.0,34.1087,-118.38772,1.0,30,60,89,89,0,0,0,,,,,,102.0,1.0,23,2980.0,0,1.0,
Entire rental unit,Entire home/apt,3,1.0,2.0,3.0,within an hour,100%,0.0,19.0,20.0,43.32413,-1.97191,1.0,27,57,87,270,10,10,0,4.2,4.4,4.7,4.0,1.63,146.0,1.5,16,2907.0,510,0.9,131.0
Entire rental unit,Entire home/apt,6,1.0,4.0,4.0,within an hour,100%,1.0,1.0,2.0,43.41688177861717,-2.722357660531997,1.0,22,52,82,307,61,17,0,4.84,4.87,4.43,4.72,1.12,100.0,1.0,29,1728.0,345,0.7333333333333333,191.0
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,1.0,7.0,7.0,37.977325,23.730145,1.0,14,44,74,347,81,8,1,4.84,4.94,4.93,4.78,1.17,72.0,2.0,41,2181.0,267,0.4666666666666667,86.0
Private room in rental unit,Private room,2,1.0,1.0,1.0,within a few hours,100%,1.0,1.0,1.0,40.74660568319967,-73.88225566595793,1.0,5,9,12,52,62,62,4,4.98,4.97,4.79,4.94,8.61,124.0,1.0,33,3353.0,516,0.1666666666666666,14.0
Entire condo,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,0.0,1.0,2.0,38.920100067059785,-77.0445665458207,1.0,24,54,84,263,2,2,0,5.0,5.0,5.0,4.5,0.24,92.0,1.0,44,4557.0,524,0.8,127.0
Entire rental unit,Entire home/apt,3,1.0,0.0,2.0,,,0.0,1.0,1.0,35.50801,27.21616,1.0,28,58,88,178,2,0,0,4.0,4.0,4.5,3.5,0.12,100.0,,4,1493.0,490,0.9333333333333332,580.0
Private room in home,Private room,4,1.0,1.0,2.0,within an hour,100%,1.0,2.0,3.0,32.81613,-117.1618,1.0,13,17,17,17,41,41,4,4.98,5.0,4.8,4.93,6.47,77.0,2.0,38,2549.0,488,0.4333333333333333,96.0
Private room in rental unit,Private room,2,1.0,1.0,2.0,within a few hours,98%,0.0,126.0,195.0,1.34458,103.73395,1.0,29,59,89,269,0,0,0,,,,,,80.0,2.0,14,1978.0,504,0.9666666666666668,
Entire loft,Entire home/apt,7,4.0,4.0,4.0,within a few hours,100%,1.0,2.0,2.0,48.87997,2.38903,1.0,9,10,10,38,42,3,0,4.88,4.64,4.79,4.79,0.5,375.0,1.0,57,3143.0,479,0.3,218.0
Entire condo,Entire home/apt,3,1.0,1.0,1.0,,,0.0,1.0,4.0,43.64701,-79.39395,1.0,27,57,87,87,1,0,0,5.0,5.0,4.0,5.0,0.01,160.0,1.0,14,5569.0,47,0.9,2089.0
Private room in bed and breakfast,Private room,2,1.0,1.0,6.0,,,0.0,3.0,3.0,38.1581798,13.175378,1.0,28,58,88,352,3,3,0,5.0,5.0,5.0,5.0,0.35,72.0,6.0,38,345.0,361,0.9333333333333332,215.0
Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,within an hour,100%,1.0,7.0,7.0,35.51779,24.01553,1.0,30,60,90,276,12,12,0,4.67,4.83,5.0,4.83,2.05,85.0,1.0,11,1362.0,470,1.0,124.0
Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,within an hour,98%,0.0,140.0,246.0,45.46085,9.1831,1.0,17,39,69,268,3,3,0,5.0,5.0,4.33,5.0,0.73,180.0,1.5,26,3194.0,141,0.5666666666666667,31.0
Entire rental unit,Entire home/apt,8,2.0,2.0,5.0,within an hour,100%,1.0,7.0,7.0,45.479089932351705,9.194913555073024,1.0,30,53,83,164,107,48,2,4.9,4.94,4.82,4.76,4.76,325.0,2.5,50,1395.0,510,1.0,19.0
Entire home,Entire home/apt,12,3.0,4.0,9.0,within an hour,100%,1.0,3.0,3.0,35.5952937675,-82.6606937534,1.0,25,55,85,257,8,8,0,5.0,5.0,5.0,5.0,0.82,457.0,2.25,70,3096.0,497,0.8333333333333334,78.0
Entire vacation home,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,1.0,1.0,1.0,53.219006,-8.693309,1.0,23,53,83,358,90,36,0,4.92,4.98,4.82,4.81,3.0,95.0,1.0,28,1011.0,490,0.7666666666666667,153.0
Entire home,Entire home/apt,3,2.0,3.0,2.0,within an hour,100%,0.0,1.0,1.0,37.41189,-122.12206,1.0,0,0,16,105,18,6,0,5.0,5.0,5.0,4.94,0.67,310.0,0.6666666666666666,59,3237.0,492,0.0,112.0
Entire villa,Entire home/apt,12,4.5,5.0,0.0,within a day,98%,0.0,758.0,962.0,36.439619340978574,28.208990722259703,1.0,0,0,0,145,0,0,0,,,,,,736.0,0.0,12,1089.0,330,0.0,
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,0.0,3.0,3.0,41.008598,17.0036504,1.0,28,58,88,88,1,1,1,5.0,5.0,5.0,5.0,1.0,73.0,2.0,29,106.0,491,0.9333333333333332,78.0
Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,,,0.0,1.0,1.0,45.47928,9.22154,1.0,23,53,83,83,0,0,0,,,,,,95.0,1.0,21,241.0,417,0.7666666666666667,
Entire home,Entire home/apt,8,3.0,3.0,5.0,within an hour,99%,1.0,83.0,242.0,29.96682,-90.08666,1.0,18,40,66,156,9,9,0,4.56,4.67,4.56,4.56,0.9,169.0,1.6666666666666667,34,2965.0,489,0.6,44.0
Entire guest suite,Entire home/apt,4,1.0,1.0,3.0,within an hour,100%,1.0,1.0,1.0,37.77503,-122.45629,1.0,19,42,71,71,45,20,1,4.96,4.96,5.0,4.82,1.9,236.0,3.0,70,2801.0,363,0.6333333333333333,25.0
Entire home,Entire home/apt,10,3.0,4.0,8.0,within an hour,100%,1.0,3.0,3.0,33.34167,-118.32436,1.0,5,22,30,203,174,41,3,4.99,4.97,5.0,4.93,3.23,505.0,2.0,37,1840.0,362,0.1666666666666666,19.0
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,within an hour,99%,0.0,12.0,14.0,48.13683,11.60849,1.0,0,0,0,0,726,99,8,4.7,4.75,4.78,4.66,6.73,107.0,1.0,42,4945.0,224,0.0,81.0
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,1.0,10.0,10.0,52.50682186807835,13.39880551653292,1.0,28,49,76,148,4,4,1,5.0,5.0,5.0,4.75,1.4,168.0,2.0,27,703.0,344,0.9333333333333332,104.0
Entire rental unit,Entire home/apt,7,2.0,2.0,3.0,a few days or more,14%,0.0,1.0,1.0,40.73844,-74.20877,1.0,27,57,87,362,5,0,0,5.0,5.0,4.6,5.0,0.32,189.0,1.5,50,2921.0,514,0.9,453.0
Private room in rental unit,Private room,4,1.0,2.0,2.0,,,0.0,1.0,1.0,40.57942281758896,-73.95640552507665,1.0,29,59,89,364,0,0,0,,,,,,212.0,1.0,6,1352.0,407,0.9666666666666668,
Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,within a few hours,73%,0.0,239.0,243.0,22.22122,-159.47167,1.0,30,60,90,90,1,0,0,5.0,5.0,5.0,5.0,0.04,329.0,1.5,25,1119.0,59,1.0,712.0
Entire rental unit,Entire home/apt,1,1.0,0.0,1.0,within a few hours,80%,0.0,83.0,86.0,40.74926,-73.97643,1.0,30,60,90,365,1,0,0,4.0,4.0,5.0,5.0,0.02,130.0,,23,2915.0,493,1.0,1444.0
Entire serviced apartment,Entire home/apt,6,2.0,2.0,2.0,within an hour,100%,0.0,58.0,76.0,1.2945864490836356,103.8380394171201,1.0,19,49,79,351,3,3,0,4.33,5.0,4.33,4.33,0.48,606.0,1.0,24,4120.0,348,0.6333333333333333,239.0
Entire rental unit,Entire home/apt,8,2.0,3.0,4.0,within an hour,100%,0.0,22.0,29.0,51.38786832689403,-0.2897029754684939,1.0,16,16,16,16,3,3,0,4.67,4.67,4.67,5.0,0.52,166.0,1.3333333333333333,23,1755.0,555,0.5333333333333333,145.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within a few hours,100%,0.0,18.0,133.0,30.26058,-97.72066,1.0,28,58,88,178,1,1,0,3.0,3.0,4.0,3.0,0.1,118.0,1.0,41,3011.0,488,0.9333333333333332,305.0
Entire condo,Entire home/apt,4,2.0,2.0,2.0,within an hour,100%,1.0,1.0,1.0,20.72577,-156.44584,1.0,10,34,57,218,22,11,3,4.95,4.91,4.91,4.77,1.32,325.0,1.0,76,655.0,499,0.3333333333333333,12.0
Entire condo,Entire home/apt,4,1.0,2.0,2.0,within an hour,100%,1.0,6.0,6.0,41.12843,16.8713,1.0,10,26,54,329,181,110,9,4.76,4.63,4.93,4.7,9.03,54.0,1.0,43,3229.0,367,0.3333333333333333,82.0
Entire vacation home,Entire home/apt,4,1.0,1.0,3.0,within an hour,100%,0.0,4.0,4.0,41.32035,16.29347,1.0,30,60,84,359,0,0,0,,,,,,112.0,3.0,49,4411.0,205,1.0,
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,91%,0.0,3.0,7.0,39.83927,3.12022,1.0,7,35,63,211,177,39,0,4.75,4.76,4.81,4.6,3.79,456.0,2.0,35,4435.0,457,0.2333333333333333,135.0
Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,within an hour,100%,1.0,8.0,8.0,-34.0589131,151.1569258,1.0,28,58,88,271,0,0,0,,,,,,285.0,1.5,44,998.0,314,0.9333333333333332,
Private room in condo,Private room,3,1.0,1.0,2.0,within an hour,100%,0.0,15.0,15.0,21.28196317523694,-157.82823503823172,1.0,16,37,61,277,23,5,0,4.57,4.48,4.87,4.48,0.92,142.0,2.0,71,813.0,495,0.5333333333333333,133.0
Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,within an hour,100%,1.0,3.0,3.0,51.45906,-2.565,1.0,12,42,72,252,102,14,0,4.87,4.69,4.62,4.82,1.28,75.0,1.0,55,3181.0,416,0.4,133.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,1.0,2.0,2.0,-22.989640864303308,-43.43976375262977,1.0,0,0,26,206,2,2,0,5.0,5.0,5.0,5.0,0.17,656.0,1.0,11,2328.0,36,0.0,208.0
Entire home,Entire home/apt,10,2.0,4.0,5.0,within an hour,100%,1.0,1.0,1.0,45.56977585751,-122.66108446624338,1.0,15,37,59,331,115,99,7,4.83,4.79,4.83,4.74,7.44,146.0,1.25,49,1938.0,480,0.5,18.0
Private room in rental unit,Private room,2,2.0,1.0,1.0,within an hour,100%,0.0,9.0,9.0,53.34436,-6.28129,1.0,20,50,76,166,123,62,3,4.37,4.33,4.37,4.18,5.03,62.0,1.0,40,1684.0,518,0.6666666666666666,108.0
Entire home,Entire home/apt,6,3.0,3.0,3.0,,,0.0,1.0,1.0,34.09149,-118.60048,1.0,27,57,87,87,0,0,0,,,,,,300.0,1.0,29,4303.0,433,0.9,
Entire home,Entire home/apt,14,3.0,5.0,7.0,within an hour,100%,1.0,1.0,1.0,36.1851791,-115.0344354,1.0,14,31,50,225,5,5,0,4.8,4.8,4.4,4.4,0.86,499.0,1.4,51,366.0,483,0.4666666666666667,138.0
Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,within an hour,100%,0.0,35.0,53.0,48.85971,2.35399,1.0,5,21,50,230,46,46,3,4.63,4.72,4.98,4.59,4.38,195.0,1.5,33,1103.0,301,0.1666666666666666,117.0
Entire guesthouse,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,1.0,1.0,1.0,45.59464,-122.74913,1.0,24,44,70,153,221,29,1,5.0,4.99,4.95,4.91,2.67,125.0,2.0,47,4280.0,478,0.8,25.0
Entire villa,Entire home/apt,12,1.0,2.0,6.0,within an hour,100%,0.0,576.0,1081.0,38.075361,13.083417,1.0,30,60,90,365,0,0,0,,,,,,235.0,3.0,30,778.0,449,1.0,
Private room in home,Private room,2,1.0,1.0,1.0,within a few hours,90%,0.0,1.0,2.0,51.53471943817509,-0.2360432254971674,1.0,0,0,0,94,12,12,4,4.67,5.0,4.83,4.75,5.37,55.0,1.0,11,427.0,387,0.0,102.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,0.0,1.0,4.0,43.6408455,-79.4143193,1.0,17,27,56,197,2,2,2,5.0,5.0,5.0,5.0,2.0,266.0,1.0,54,3861.0,302,0.5666666666666667,40.0
Tent,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,1.0,6.0,6.0,52.32609,-9.27653,1.0,0,0,0,180,2,2,0,5.0,5.0,5.0,5.0,0.45,119.0,2.0,9,2910.0,498,0.0,222.0
Private room in rental unit,Private room,3,1.0,1.0,3.0,,,0.0,58.0,60.0,50.09220007150788,14.430020764842272,1.0,0,0,0,49,4,0,0,4.0,4.0,5.0,4.75,0.19,850.0,3.0,11,1007.0,414,0.0,571.0
Entire guest suite,Entire home/apt,12,3.0,3.0,6.0,a few days or more,39%,0.0,14.0,16.0,40.06047,18.03908,1.0,0,0,0,153,0,0,0,,,,,,180.0,2.0,44,3541.0,512,0.0,
Entire home,Entire home/apt,8,2.0,4.0,5.0,within a few hours,100%,0.0,1.0,1.0,-37.72715,144.57482,1.0,0,0,0,34,15,15,0,4.6,4.8,4.93,4.6,1.38,223.0,1.25,44,494.0,108,0.0,46.0
Entire condo,Entire home/apt,4,2.0,1.0,2.0,within an hour,100%,0.0,93.0,95.0,20.7111803900566,-156.44349181840397,1.0,30,60,90,365,0,0,0,,,,,,217.0,2.0,25,2937.0,468,1.0,
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,1.0,1.0,1.0,-26.41686,152.9118,1.0,16,37,55,63,193,50,1,4.94,4.95,4.94,4.92,3.05,113.0,2.0,43,1930.0,496,0.5333333333333333,27.0
Private room in rental unit,Private room,2,1.0,1.0,1.0,within an hour,90%,1.0,3.0,3.0,19.4118,-99.14451,1.0,11,11,37,127,55,12,1,4.82,4.44,4.89,4.8,0.63,350.0,1.0,42,2855.0,374,0.3666666666666666,96.0
Private room in home,Private room,1,1.0,1.0,1.0,a few days or more,33%,0.0,1.0,1.0,43.65717,-79.36724,1.0,30,60,90,365,36,1,0,5.0,4.75,4.86,5.0,0.39,60.0,1.0,18,2772.0,285,1.0,145.0
Shared room in aparthotel,Shared room,1,1.0,1.0,1.0,within a few hours,96%,1.0,22.0,33.0,25.045305,121.525238,1.0,5,5,5,5,44,14,2,4.98,4.98,4.98,4.98,1.24,394.0,1.0,50,3782.0,513,0.1666666666666666,87.0
Entire rental unit,Entire home/apt,4,1.5,1.0,2.0,within an hour,100%,1.0,24.0,27.0,37.97821,23.72648,1.0,22,52,57,143,205,9,0,4.88,4.94,4.93,4.86,2.87,67.0,2.0,32,3547.0,487,0.7333333333333333,127.0
Entire guest suite,Entire home/apt,2,1.0,2.0,2.0,within an hour,100%,1.0,1.0,1.0,32.625144958496094,-117.0454559326172,1.0,19,46,74,154,107,20,1,4.92,4.93,4.93,4.89,1.59,97.0,1.0,41,2527.0,465,0.6333333333333333,94.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,1.0,1.0,1.0,-37.81782,144.99645,1.0,0,0,22,291,222,7,0,4.82,4.71,4.94,4.76,2.32,306.0,1.0,47,4452.0,517,0.0,126.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,,,0.0,9.0,9.0,35.5194,23.91093,1.0,0,0,0,136,0,0,0,,,,,,65.0,1.0,18,3049.0,475,0.0,
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,1.0,3.0,3.0,42.3376382,-71.03912129999999,1.0,7,10,18,189,97,94,2,4.85,4.93,4.84,4.72,7.4,156.0,1.0,44,2242.0,475,0.2333333333333333,19.0
Entire condo,Entire home/apt,4,1.0,0.0,2.0,,,0.0,97.0,116.0,40.6388374,22.9411742,1.0,26,56,86,361,2,2,0,4.0,4.0,3.5,3.0,0.47,91.0,,15,3616.0,208,0.8666666666666667,137.0
