property_type,room_type,accommodates,bathrooms,bedrooms,beds,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,beds_per_bedroom,amenities_count,host_tenure_days,description_len,availability_30_ratio,days_since_last_review
Entire villa,Entire home/apt,4,2.0,2.0,2.0,within an hour,100%,True,26.0,33.0,35.03748,24.78178,True,30,60,90,323,2,2,0,5.0,5.0,5.0,5.0,0.41,430.0,1.0,53,3621.0,486,1.0,197.0
Entire condo,Entire home/apt,4,1.0,1.0,2.0,within an hour,99%,False,775.0,1110.0,41.2734692,16.4255023,True,29,59,89,364,1,1,0,5.0,5.0,5.0,5.0,0.22,75.0,2.0,20,2632.0,433,0.9666666666666668,206.0
Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,within an hour,100%,True,2.0,2.0,32.82051,-96.82818,True,0,0,0,0,25,25,2,5.0,4.96,4.8,4.84,3.57,163.0,1.0,57,1312.0,510,0.0,14.0
Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,a few days or more,33%,False,1.0,1.0,48.12022,11.63181,True,4,34,64,64,21,13,0,4.86,4.9,4.71,4.76,1.33,108.0,1.0,4,1365.0,352,0.1333333333333333,138.0
Entire rental unit,Entire home/apt,2,1.5,0.0,1.0,within an hour,99%,False,103.0,151.0,48.89037,2.34345,True,21,26,48,315,6,6,5,3.67,3.83,4.33,3.33,4.86,65.0,unknown,43,2118.0,268,0.7,99.0
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,within an hour,99%,False,345.0,386.0,41.43128,2.17784,True,6,12,33,308,122,19,0,4.65,4.6,4.56,4.48,1.8,94.0,1.0,27,5215.0,515,0.2,55.0
Private room in home,Private room,2,1.0,1.0,1.0,within a few hours,100%,False,4.0,7.0,43.74196998830655,-79.32133084420758,True,1,31,61,335,0,0,0,4.86,4.87,4.88,4.77,0.87,35.0,1.0,32,716.0,493,0.0333333333333333,unknown
Private room in rental unit,Private room,2,1.0,1.0,1.0,within an hour,100%,False,2.0,2.0,35.89183,14.49241,True,23,53,83,83,2,2,0,5.0,5.0,4.5,5.0,0.55,30.0,1.0,33,543.0,477,0.7666666666666667,163.0
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,True,7.0,7.0,41.70082,2.8376,True,11,11,12,287,0,0,0,4.86,4.87,4.88,4.77,0.87,87.0,2.0,29,1026.0,153,0.3666666666666666,unknown
Private room in home,Private room,1,1.0,1.0,1.0,within a day,100%,False,1.0,1.0,-34.13879,18.42142,True,28,58,88,363,0,0,0,4.86,4.87,4.88,4.77,0.87,617.0,1.0,38,2051.0,49,0.9333333333333332,unknown
Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,within a day,71%,False,5.0,6.0,36.76884,14.63515,True,24,54,84,359,3,1,0,4.33,4.33,4.0,4.33,0.03,90.0,1.5,21,3462.0,222,0.8,190.0
Private room in home,Private room,2,1.0,1.0,1.0,missing,missing,False,1.0,1.0,34.1087,-118.38772,True,30,60,89,89,0,0,0,4.86,4.87,4.88,4.77,0.87,102.0,1.0,23,2980.0,0,1.0,unknown
Entire rental unit,Entire home/apt,3,1.0,2.0,3.0,within an hour,100%,False,19.0,20.0,43.32413,-1.97191,True,27,57,87,270,10,10,0,4.2,4.4,4.7,4.0,1.63,146.0,1.5,16,2907.0,510,0.9,131.0
Entire rental unit,Entire home/apt,6,1.0,4.0,4.0,within an hour,100%,True,1.0,2.0,43.41688177861717,-2.722357660531997,True,22,52,82,307,61,17,0,4.84,4.87,4.43,4.72,1.12,100.0,1.0,29,1728.0,345,0.7333333333333333,191.0
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,True,7.0,7.0,37.977325,23.730145,True,14,44,74,347,81,8,1,4.84,4.94,4.93,4.78,1.17,72.0,2.0,41,2181.0,267,0.4666666666666667,86.0
Private room in rental unit,Private room,2,1.0,1.0,1.0,within a few hours,100%,True,1.0,1.0,40.74660568319967,-73.88225566595793,True,5,9,12,52,62,62,4,4.98,4.97,4.79,4.94,8.61,124.0,1.0,33,3353.0,516,0.1666666666666666,14.0
Entire condo,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,False,1.0,2.0,38.920100067059785,-77.0445665458207,True,24,54,84,263,2,2,0,5.0,5.0,5.0,4.5,0.24,92.0,1.0,44,4557.0,524,0.8,127.0
Entire rental unit,Entire home/apt,3,1.0,0.0,2.0,missing,missing,False,1.0,1.0,35.50801,27.21616,True,28,58,88,178,2,0,0,4.0,4.0,4.5,3.5,0.12,100.0,unknown,4,1493.0,490,0.9333333333333332,580.0
Private room in home,Private room,4,1.0,1.0,2.0,within an hour,100%,True,2.0,3.0,32.81613,-117.1618,True,13,17,17,17,41,41,4,4.98,5.0,4.8,4.93,6.47,77.0,2.0,38,2549.0,488,0.4333333333333333,96.0
Private room in rental unit,Private room,2,1.0,1.0,2.0,within a few hours,98%,False,126.0,195.0,1.34458,103.73395,True,29,59,89,269,0,0,0,4.86,4.87,4.88,4.77,0.87,80.0,2.0,14,1978.0,504,0.9666666666666668,unknown
Entire loft,Entire home/apt,7,4.0,4.0,4.0,within a few hours,100%,True,2.0,2.0,48.87997,2.38903,True,9,10,10,38,42,3,0,4.88,4.64,4.79,4.79,0.5,375.0,1.0,57,3143.0,479,0.3,218.0
Entire condo,Entire home/apt,3,1.0,1.0,1.0,missing,missing,False,1.0,4.0,43.64701,-79.39395,True,27,57,87,87,1,0,0,5.0,5.0,4.0,5.0,0.01,160.0,1.0,14,5569.0,47,0.9,2089.0
Private room in bed and breakfast,Private room,2,1.0,1.0,6.0,missing,missing,False,3.0,3.0,38.1581798,13.175378,True,28,58,88,352,3,3,0,5.0,5.0,5.0,5.0,0.35,72.0,6.0,38,345.0,361,0.9333333333333332,215.0
Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,within an hour,100%,True,7.0,7.0,35.51779,24.01553,True,30,60,90,276,12,12,0,4.67,4.83,5.0,4.83,2.05,85.0,1.0,11,1362.0,470,1.0,124.0
Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,within an hour,98%,False,140.0,246.0,45.46085,9.1831,True,17,39,69,268,3,3,0,5.0,5.0,4.33,5.0,0.73,180.0,1.5,26,3194.0,141,0.5666666666666667,31.0
Entire rental unit,Entire home/apt,8,2.0,2.0,5.0,within an hour,100%,True,7.0,7.0,45.479089932351705,9.194913555073024,True,30,53,83,164,107,48,2,4.9,4.94,4.82,4.76,4.76,325.0,2.5,50,1395.0,510,1.0,19.0
Entire home,Entire home/apt,12,3.0,4.0,9.0,within an hour,100%,True,3.0,3.0,35.5952937675,-82.6606937534,True,25,55,85,257,8,8,0,5.0,5.0,5.0,5.0,0.82,457.0,2.25,70,3096.0,497,0.8333333333333334,78.0
Entire vacation home,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,True,1.0,1.0,53.219006,-8.693309,True,23,53,83,358,90,36,0,4.92,4.98,4.82,4.81,3.0,95.0,1.0,28,1011.0,490,0.7666666666666667,153.0
Entire home,Entire home/apt,3,2.0,3.0,2.0,within an hour,100%,False,1.0,1.0,37.41189,-122.12206,True,0,0,16,105,18,6,0,5.0,5.0,5.0,4.94,0.67,310.0,0.6666666666666666,59,3237.0,492,0.0,112.0
